movie_name,describe,introduce,evalute,serial_number,star
指环王3：王者无敌,史诗的终章。,导演:彼得·杰克逊PeterJackson主演:维果·莫腾森ViggoMortensen/...2003/美国新西兰/剧情动作奇幻冒险,364940人评价,33,9.1
控方证人,比利·怀德满分作品。,导演:比利·怀尔德BillyWilder主演:查尔斯·劳顿CharlesLaughton/...1957/美国/剧情犯罪悬疑,150344人评价,34,9.6
天空之城,对天空的追逐，永不停止。 ,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...1986/日本/动画奇幻冒险,426231人评价,35,9.0
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...1999/美国德国/剧情动作悬疑惊悚,480014人评价,36,9.0
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...2009/美国/剧情喜剧动画冒险,648377人评价,37,8.9
大话西游之月光宝盒,旷古烁今。,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/香港中国大陆/喜剧爱情奇幻冒险,547072人评价,38,8.9
罗马假日,爱情哪怕只有一天。,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...1953/美国/喜剧剧情爱情,490279人评价,39,9.0
摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...2016/印度/剧情传记运动家庭,666010人评价,40,9.1
窃听风暴,别样人生。,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck...2006/德国/剧情悬疑,291188人评价,41,9.1
哈尔的移动城堡,带着心爱的人在天空飞翔。,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...2004/日本/动画奇幻冒险,464223人评价,42,8.9
辩护人,电影的现实意义大过电影本身。,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/吴达洙Dal-suO...2013/韩国/剧情,288400人评价,43,9.2
闻香识女人,史上最美的探戈。,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...1992/美国/剧情,416261人评价,44,9.0
